"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"";"";1;"";;;
2;"R13,R17";"R_0603_1608Metric";2;"10k";;;
3;"C7,C10,C5,C4,C12,C6,C11";"C_0603_1608Metric";7;"0.1uF";;;
4;"D3,D2,D1";"LED_0805_2012Metric";3;"LED";;;
5;"R5,R9,R6,R10,R12,R11,R7,R8";"R_0805_2012Metric";8;"100";;;
6;"R15,R14";"R_0603_1608Metric";2;"22";;;
7;"J2";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
8;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"16MHz";;;
9;"C15";"C_0603_1608Metric";1;"10nF";;;
10;"R16";"R_0603_1608Metric";1;"1k";;;
11;"C2,C3";"C_0603_1608Metric";2;"22p";;;
12;"C14";"C_0603_1608Metric";1;"2.2uF";;;
13;"F1";"Fuse_1812_4532Metric";1;"PTCSMD";;;
14;"R1,R2";"R_0805_2012Metric";2;"10k";;;
15;"U1";"CA56-12EWA";1;"CA56-12EWA";;;
16;"J3";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP_Conn";;;
17;"S1,S2";"PTS125_SMD_Button";2;"PTS125SM43SMTR21M_LFS";;;
18;"R3,R4";"R_0805_2012Metric";2;"330";;;
19;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"74HC595";;;
20;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
21;"C1";"C_0603_1608Metric";1;"0.1u";;;
22;"U5";"SOT-23-5";1;"LP2985-3.3";;;
23;"C8";"C_0805_2012Metric";1;"10uF";;;
24;"J1";"PinSocket_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
25;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
26;"LS1";"Buzzer_12x9.5RM7.6";1;"Speaker";;;
27;"S3";"PTS526_SMD_Button";1;"PTS526_SM08_SMTR2_LFS";;;
28;"C9,C13";"C_0603_1608Metric";2;"1uF";;;
